conteudo,orgao,ano,cargo,tipo_documento,titulo,url,data_publicacao
"Concurso: Almoxarife: nível escolar exigido, salário médio e atribuições | Link: https://concursosnobrasil.com/cargos/almoxarife-nivel-escolar-exigido-salario-medio-e-atribuicoes/",N/A,2025,N/A,concurso,"Almoxarife: nível escolar exigido, salário médio e atribuições",https://concursosnobrasil.com/cargos/almoxarife-nivel-escolar-exigido-salario-medio-e-atribuicoes/,2025-10-16T15:58:33.117068
"Concurso: Auxiliar de Logística: o que faz, quanto ganha e requisitos mínimos | Link: https://concursosnobrasil.com/cargos/auxiliar-de-logistica-o-que-faz-quanto-ganha-e-requisitos-minimos/",N/A,2025,N/A,concurso,"Auxiliar de Logística: o que faz, quanto ganha e requisitos mínimos",https://concursosnobrasil.com/cargos/auxiliar-de-logistica-o-que-faz-quanto-ganha-e-requisitos-minimos/,2025-10-16T15:58:33.117068
"Concurso: Administrador: o que faz, salário médio nas empresas e requisitos | Link: https://concursosnobrasil.com/cargos/administrador-o-que-faz-salario-medio-nas-empresas-e-requisitos/",N/A,2025,N/A,concurso,"Administrador: o que faz, salário médio nas empresas e requisitos",https://concursosnobrasil.com/cargos/administrador-o-que-faz-salario-medio-nas-empresas-e-requisitos/,2025-10-16T15:58:33.117068
"Concurso: Designer de Interiores: o que faz, qual a formação e remuneração | Link: https://concursosnobrasil.com/cargos/designer-de-interiores-qual-a-formacao-e-quanto-ganha/",N/A,2025,N/A,concurso,"Designer de Interiores: o que faz, qual a formação e remuneração",https://concursosnobrasil.com/cargos/designer-de-interiores-qual-a-formacao-e-quanto-ganha/,2025-10-16T15:58:46.402617
"Concurso: Consultor de Vendas: o que faz, quanto ganha e descrição do cargo | Link: https://concursosnobrasil.com/cargos/consultor-de-vendas-o-que-faz-quanto-ganha-e-descricao-do-cargo/",N/A,2025,N/A,concurso,"Consultor de Vendas: o que faz, quanto ganha e descrição do cargo",https://concursosnobrasil.com/cargos/consultor-de-vendas-o-que-faz-quanto-ganha-e-descricao-do-cargo/,2025-10-16T15:58:46.402617
"Concurso: Escriturário: quanto ganha, o que faz, nível escolar e outros critérios | Link: https://concursosnobrasil.com/cargos/escriturario-quanto-ganha-o-que-faz-nivel-escolar-e-outros-criterios/",N/A,2025,N/A,concurso,"Escriturário: quanto ganha, o que faz, nível escolar e outros critérios",https://concursosnobrasil.com/cargos/escriturario-quanto-ganha-o-que-faz-nivel-escolar-e-outros-criterios/,2025-10-16T15:59:01.922515
"Concurso: Técnico em Radiologia: formação necessária, o que faz e quanto ganha | Link: https://concursosnobrasil.com/cargos/tecnico-em-radiologia/",N/A,2025,N/A,concurso,"Técnico em Radiologia: formação necessária, o que faz e quanto ganha",https://concursosnobrasil.com/cargos/tecnico-em-radiologia/,2025-10-16T15:59:01.922515
"Concurso: Programador: o que faz, formação necessária e média salarial | Link: https://concursosnobrasil.com/cargos/programador/",N/A,2025,N/A,concurso,"Programador: o que faz, formação necessária e média salarial",https://concursosnobrasil.com/cargos/programador/,2025-10-16T15:59:01.922515
"Concurso: Guarda Civil Municipal: o que faz, salário médio e requisitos mínimos | Link: https://concursosnobrasil.com/cargos/guarda-civil-municipal-o-que-faz-salario-medio-e-requisitos-minimos/",N/A,2025,N/A,concurso,"Guarda Civil Municipal: o que faz, salário médio e requisitos mínimos",https://concursosnobrasil.com/cargos/guarda-civil-municipal-o-que-faz-salario-medio-e-requisitos-minimos/,2025-10-16T15:59:15.908121
"Concurso: Analista Tributário da Receita Federal: veja requisitos, o que faz e quanto ganha | Link: https://concursosnobrasil.com/cargos/analista-tributario-da-receita-federal-veja-requisitos-o-que-faz-e-quanto-ganha/",N/A,2025,N/A,concurso,"Analista Tributário da Receita Federal: veja requisitos, o que faz e quanto ganha",https://concursosnobrasil.com/cargos/analista-tributario-da-receita-federal-veja-requisitos-o-que-faz-e-quanto-ganha/,2025-10-16T15:59:15.912996
"Concurso: Microbiologista: o que faz, quanto ganha e qual é a formação | Link: https://concursosnobrasil.com/cargos/microbiologista-o-que-faz-quanto-ganha-e-qual-e-a-formacao/",N/A,2025,N/A,concurso,"Microbiologista: o que faz, quanto ganha e qual é a formação",https://concursosnobrasil.com/cargos/microbiologista-o-que-faz-quanto-ganha-e-qual-e-a-formacao/,2025-10-16T15:59:28.441885
"Concurso: Copy Writer: o que é, o que faz, quanto ganha e como ser um | Link: https://concursosnobrasil.com/cargos/copy-writer-o-que-e-o-que-faz-quanto-ganha-e-como-ser-um/",N/A,2025,N/A,concurso,"Copy Writer: o que é, o que faz, quanto ganha e como ser um",https://concursosnobrasil.com/cargos/copy-writer-o-que-e-o-que-faz-quanto-ganha-e-como-ser-um/,2025-10-16T15:59:28.441885
"Concurso: Cargo de Assistente Administrativo: o que faz, requisitos e salário médio | Link: https://concursosnobrasil.com/cargos/cargo-de-assistente-administrativo-o-que-faz-requisitos-e-salario-medio/",N/A,2025,N/A,concurso,"Cargo de Assistente Administrativo: o que faz, requisitos e salário médio",https://concursosnobrasil.com/cargos/cargo-de-assistente-administrativo-o-que-faz-requisitos-e-salario-medio/,2025-10-16T15:59:28.441885
"Concurso: Gerente de Supply Chain: o que é, formação e salário médio | Link: https://concursosnobrasil.com/cargos/gerente-de-supply/",N/A,2025,N/A,concurso,"Gerente de Supply Chain: o que é, formação e salário médio",https://concursosnobrasil.com/cargos/gerente-de-supply/,2025-10-16T15:59:28.441885
"Concurso: Cientista de Dados: saiba o que faz, quanto ganha e requisitos mínimos | Link: https://concursosnobrasil.com/cargos/cientista-de-dados-saiba-o-que-faz-quanto-ganha-e-requisitos-minimos/",N/A,2025,N/A,concurso,"Cientista de Dados: saiba o que faz, quanto ganha e requisitos mínimos",https://concursosnobrasil.com/cargos/cientista-de-dados-saiba-o-que-faz-quanto-ganha-e-requisitos-minimos/,2025-10-16T15:59:41.970884
"Concurso: Estoquista: o que faz, quanto ganha e requisitos mínimos | Link: https://concursosnobrasil.com/cargos/estoquista/",N/A,2025,N/A,concurso,"Estoquista: o que faz, quanto ganha e requisitos mínimos",https://concursosnobrasil.com/cargos/estoquista/,2025-10-16T15:59:41.970884
"Concurso: Assistente de Vendas: O que faz, salário médio, formação | Link: https://concursosnobrasil.com/cargos/assistente-de-vendas-salario-medio-formacao-e-atribuicoes-do-cargo/",N/A,2025,N/A,concurso,"Assistente de Vendas: O que faz, salário médio, formação",https://concursosnobrasil.com/cargos/assistente-de-vendas-salario-medio-formacao-e-atribuicoes-do-cargo/,2025-10-16T15:59:57.118933
"Concurso: Acupunturista: o que faz, formação necessária e média salarial | Link: https://concursosnobrasil.com/cargos/acupunturista/",N/A,2025,N/A,concurso,"Acupunturista: o que faz, formação necessária e média salarial",https://concursosnobrasil.com/cargos/acupunturista/,2025-10-16T15:59:57.123132
"Concurso: Técnico em Informática: o que faz, quanto ganha e o que é preciso ter | Link: https://concursosnobrasil.com/cargos/tecnico-em-informatica-o-que-faz-quanto-ganha-e-o-que-e-preciso-ter/",N/A,2025,N/A,concurso,"Técnico em Informática: o que faz, quanto ganha e o que é preciso ter",https://concursosnobrasil.com/cargos/tecnico-em-informatica-o-que-faz-quanto-ganha-e-o-que-e-preciso-ter/,2025-10-16T15:59:57.124288
"Concurso: Empacotador: o que faz, quanto geralmente ganha e requisitos | Link: https://concursosnobrasil.com/cargos/empacotador/",N/A,2025,N/A,concurso,"Empacotador: o que faz, quanto geralmente ganha e requisitos",https://concursosnobrasil.com/cargos/empacotador/,2025-10-16T16:00:10.219318
"Concurso: Meteorologista: o que faz, qual a formação e quanto ganha | Link: https://concursosnobrasil.com/cargos/meteorologista-o-que-faz-qual-a-formacao-e-quanto-ganha/",N/A,2025,N/A,concurso,"Meteorologista: o que faz, qual a formação e quanto ganha",https://concursosnobrasil.com/cargos/meteorologista-o-que-faz-qual-a-formacao-e-quanto-ganha/,2025-10-16T16:00:10.225799
"Concurso: Repositor de mercado: o que faz, quanto ganha e requisitos gerais | Link: https://concursosnobrasil.com/cargos/repositor-de-mercado-o-que-faz-quanto-ganha-e-requisitos-gerais/",N/A,2025,N/A,concurso,"Repositor de mercado: o que faz, quanto ganha e requisitos gerais",https://concursosnobrasil.com/cargos/repositor-de-mercado-o-que-faz-quanto-ganha-e-requisitos-gerais/,2025-10-16T16:00:10.225799
"Concurso: Agente de Combate a Endemias: o que faz, quanto ganha e nível escolar | Link: https://concursosnobrasil.com/cargos/agente-de-combate-a-endemias-o-que-faz-quanto-ganha-e-nivel-escolar/",N/A,2025,N/A,concurso,"Agente de Combate a Endemias: o que faz, quanto ganha e nível escolar",https://concursosnobrasil.com/cargos/agente-de-combate-a-endemias-o-que-faz-quanto-ganha-e-nivel-escolar/,2025-10-16T16:00:25.683447
Concurso: Facilitador de TI é uma das profissões do futuro; veja requisitos e salário | Link: https://concursosnobrasil.com/cargos/facilitador-de-ti-e-uma-das-profissoes-do-futuro-veja-requisitos-e-salario/,N/A,2025,N/A,concurso,Facilitador de TI é uma das profissões do futuro; veja requisitos e salário,https://concursosnobrasil.com/cargos/facilitador-de-ti-e-uma-das-profissoes-do-futuro-veja-requisitos-e-salario/,2025-10-16T16:00:25.683447
Concurso: Auxiliar Administrativo e Assistente Administrativo: veja as diferenças | Link: https://concursosnobrasil.com/cargos/auxiliar-administrativo-e-assistente-administrativo-veja-as-diferencas/,N/A,2025,N/A,concurso,Auxiliar Administrativo e Assistente Administrativo: veja as diferenças,https://concursosnobrasil.com/cargos/auxiliar-administrativo-e-assistente-administrativo-veja-as-diferencas/,2025-10-16T16:00:25.683447
"Concurso: Balconista de Loja: o que faz, quanto ganha e exigências da profissão | Link: https://concursosnobrasil.com/cargos/balconista-de-loja/",N/A,2025,N/A,concurso,"Balconista de Loja: o que faz, quanto ganha e exigências da profissão",https://concursosnobrasil.com/cargos/balconista-de-loja/,2025-10-16T16:00:42.190849
Concurso: Tecnologia da Informação: quais são os 7 principais cargos nessa área | Link: https://concursosnobrasil.com/cargos/tecnologia-da-informacao-quais-sao-os-7-principais-cargos-nessa-area/,N/A,2025,N/A,concurso,Tecnologia da Informação: quais são os 7 principais cargos nessa área,https://concursosnobrasil.com/cargos/tecnologia-da-informacao-quais-sao-os-7-principais-cargos-nessa-area/,2025-10-16T16:00:42.190849
"Concurso: Técnico do Seguro Social INSS: o que faz, quanto ganha e requisitos | Link: https://concursosnobrasil.com/cargos/tecnico-do-seguro-social-inss-o-que-faz-quanto-ganha-e-requisitos/",N/A,2025,N/A,concurso,"Técnico do Seguro Social INSS: o que faz, quanto ganha e requisitos",https://concursosnobrasil.com/cargos/tecnico-do-seguro-social-inss-o-que-faz-quanto-ganha-e-requisitos/,2025-10-16T16:00:56.413142
Concurso: 15 profissões mais bem pagas do mundo nos dias de hoje | Link: https://concursosnobrasil.com/cargos/15-profissoes-mais-bem-pagas-do-mundo-nos-dias-de-hoje/,N/A,2025,N/A,concurso,15 profissões mais bem pagas do mundo nos dias de hoje,https://concursosnobrasil.com/cargos/15-profissoes-mais-bem-pagas-do-mundo-nos-dias-de-hoje/,2025-10-16T16:00:56.416256
"Concurso: Topógrafo: o que faz, quanto ganha e requisitos principais da profissão | Link: https://concursosnobrasil.com/cargos/topografo-o-que-faz-quanto-ganha-e-requisitos/",N/A,2025,N/A,concurso,"Topógrafo: o que faz, quanto ganha e requisitos principais da profissão",https://concursosnobrasil.com/cargos/topografo-o-que-faz-quanto-ganha-e-requisitos/,2025-10-16T16:01:10.318795
Concurso: Cargos do futuro? 15 profissões que podem bombar nos próximos anos | Link: https://concursosnobrasil.com/cargos/cargos-do-futuro-15-profissoes-que-podem-bombar-nos-proximos-anos/,N/A,2025,N/A,concurso,Cargos do futuro? 15 profissões que podem bombar nos próximos anos,https://concursosnobrasil.com/cargos/cargos-do-futuro-15-profissoes-que-podem-bombar-nos-proximos-anos/,2025-10-16T16:01:10.318795
"Concurso: Geneticista: o que faz, quanto ganha e a formação necessária | Link: https://concursosnobrasil.com/cargos/geneticista-o-que-faz-quanto-ganha-e-a-formacao-necessaria/",N/A,2025,N/A,concurso,"Geneticista: o que faz, quanto ganha e a formação necessária",https://concursosnobrasil.com/cargos/geneticista-o-que-faz-quanto-ganha-e-a-formacao-necessaria/,2025-10-16T16:01:25.926158
"Concurso: Digitador: o que faz, quanto ganha e requisitos mínimos para o cargo | Link: https://concursosnobrasil.com/cargos/digitador-o-que-faz-quanto-ganha-e-requisitos-minimos-para-o-cargo/",N/A,2025,N/A,concurso,"Digitador: o que faz, quanto ganha e requisitos mínimos para o cargo",https://concursosnobrasil.com/cargos/digitador-o-que-faz-quanto-ganha-e-requisitos-minimos-para-o-cargo/,2025-10-16T16:01:25.926158
"Concurso: Product Owner: o que faz, como se tornar um e quanto ganha no Brasil | Link: https://concursosnobrasil.com/cargos/product-owner/",N/A,2025,N/A,concurso,"Product Owner: o que faz, como se tornar um e quanto ganha no Brasil",https://concursosnobrasil.com/cargos/product-owner/,2025-10-16T16:01:41.326798
"Concurso: Engenheiro Eletricista: o que faz, quanto ganha e formação necessária | Link: https://concursosnobrasil.com/cargos/engenheiro-eletricista-o-que-faz-quanto-ganha-e-formacao/",N/A,2025,N/A,concurso,"Engenheiro Eletricista: o que faz, quanto ganha e formação necessária",https://concursosnobrasil.com/cargos/engenheiro-eletricista-o-que-faz-quanto-ganha-e-formacao/,2025-10-16T16:01:54.188897
"Concurso: Arquiteto: o que geralmente faz, quanto ganha e formação | Link: https://concursosnobrasil.com/cargos/arquiteto/",N/A,2025,N/A,concurso,"Arquiteto: o que geralmente faz, quanto ganha e formação",https://concursosnobrasil.com/cargos/arquiteto/,2025-10-16T16:01:54.188897
Concurso: Técnico e Auxiliar de Farmácia: qual é a diferença entre os cargos? | Link: https://concursosnobrasil.com/cargos/tecnico-e-auxiliar-de-farmacia-qual-e-a-diferenca/,N/A,2025,N/A,concurso,Técnico e Auxiliar de Farmácia: qual é a diferença entre os cargos?,https://concursosnobrasil.com/cargos/tecnico-e-auxiliar-de-farmacia-qual-e-a-diferenca/,2025-10-16T16:02:07.085070
"Concurso: Agente Censitário do IBGE: o que faz, quanto ganha e requisitos | Link: https://concursosnobrasil.com/cargos/agente-censitario-do-ibge-o-que-faz-quanto-ganha-e-requisitos/",N/A,2025,N/A,concurso,"Agente Censitário do IBGE: o que faz, quanto ganha e requisitos",https://concursosnobrasil.com/cargos/agente-censitario-do-ibge-o-que-faz-quanto-ganha-e-requisitos/,2025-10-16T16:02:19.736468
