id,titulo,orgao,localizacao,vagas,salario,salario_numerico,escolaridade,inscricoes,status,link,fonte,data_coleta
,"Guarda Civil Municipal: o que faz, salário médio e requisitos mínimos",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/guarda-civil-municipal-o-que-faz-salario-medio-e-requisitos-minimos/,Concursos Brasil,2025-10-16T15:59:15.908121
,"Analista Tributário da Receita Federal: veja requisitos, o que faz e quanto ganha",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/analista-tributario-da-receita-federal-veja-requisitos-o-que-faz-e-quanto-ganha/,Concursos Brasil,2025-10-16T15:59:15.912996
,"Microbiologista: o que faz, quanto ganha e qual é a formação",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/microbiologista-o-que-faz-quanto-ganha-e-qual-e-a-formacao/,Concursos Brasil,2025-10-16T15:59:28.441885
,"Copy Writer: o que é, o que faz, quanto ganha e como ser um",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/copy-writer-o-que-e-o-que-faz-quanto-ganha-e-como-ser-um/,Concursos Brasil,2025-10-16T15:59:28.441885
,"Cargo de Assistente Administrativo: o que faz, requisitos e salário médio",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/cargo-de-assistente-administrativo-o-que-faz-requisitos-e-salario-medio/,Concursos Brasil,2025-10-16T15:59:28.441885
,"Gerente de Supply Chain: o que é, formação e salário médio",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/gerente-de-supply/,Concursos Brasil,2025-10-16T15:59:28.441885
,"Cientista de Dados: saiba o que faz, quanto ganha e requisitos mínimos",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/cientista-de-dados-saiba-o-que-faz-quanto-ganha-e-requisitos-minimos/,Concursos Brasil,2025-10-16T15:59:41.970884
,"Estoquista: o que faz, quanto ganha e requisitos mínimos",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/estoquista/,Concursos Brasil,2025-10-16T15:59:41.970884
,"Assistente de Vendas: O que faz, salário médio, formação",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/assistente-de-vendas-salario-medio-formacao-e-atribuicoes-do-cargo/,Concursos Brasil,2025-10-16T15:59:57.118933
,"Acupunturista: o que faz, formação necessária e média salarial",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/acupunturista/,Concursos Brasil,2025-10-16T15:59:57.123132
,"Técnico em Informática: o que faz, quanto ganha e o que é preciso ter",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/tecnico-em-informatica-o-que-faz-quanto-ganha-e-o-que-e-preciso-ter/,Concursos Brasil,2025-10-16T15:59:57.124288
,"Empacotador: o que faz, quanto geralmente ganha e requisitos",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/empacotador/,Concursos Brasil,2025-10-16T16:00:10.219318
,"Meteorologista: o que faz, qual a formação e quanto ganha",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/meteorologista-o-que-faz-qual-a-formacao-e-quanto-ganha/,Concursos Brasil,2025-10-16T16:00:10.225799
,"Repositor de mercado: o que faz, quanto ganha e requisitos gerais",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/repositor-de-mercado-o-que-faz-quanto-ganha-e-requisitos-gerais/,Concursos Brasil,2025-10-16T16:00:10.225799
,"Agente de Combate a Endemias: o que faz, quanto ganha e nível escolar",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/agente-de-combate-a-endemias-o-que-faz-quanto-ganha-e-nivel-escolar/,Concursos Brasil,2025-10-16T16:00:25.683447
,Facilitador de TI é uma das profissões do futuro; veja requisitos e salário,,,0,,0.0,,,,https://concursosnobrasil.com/cargos/facilitador-de-ti-e-uma-das-profissoes-do-futuro-veja-requisitos-e-salario/,Concursos Brasil,2025-10-16T16:00:25.683447
,Auxiliar Administrativo e Assistente Administrativo: veja as diferenças,,,0,,0.0,,,,https://concursosnobrasil.com/cargos/auxiliar-administrativo-e-assistente-administrativo-veja-as-diferencas/,Concursos Brasil,2025-10-16T16:00:25.683447
,"Balconista de Loja: o que faz, quanto ganha e exigências da profissão",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/balconista-de-loja/,Concursos Brasil,2025-10-16T16:00:42.190849
,Tecnologia da Informação: quais são os 7 principais cargos nessa área,,,0,,0.0,,,,https://concursosnobrasil.com/cargos/tecnologia-da-informacao-quais-sao-os-7-principais-cargos-nessa-area/,Concursos Brasil,2025-10-16T16:00:42.190849
,"Técnico do Seguro Social INSS: o que faz, quanto ganha e requisitos",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/tecnico-do-seguro-social-inss-o-que-faz-quanto-ganha-e-requisitos/,Concursos Brasil,2025-10-16T16:00:56.413142
,15 profissões mais bem pagas do mundo nos dias de hoje,,,0,,0.0,,,,https://concursosnobrasil.com/cargos/15-profissoes-mais-bem-pagas-do-mundo-nos-dias-de-hoje/,Concursos Brasil,2025-10-16T16:00:56.416256
,"Topógrafo: o que faz, quanto ganha e requisitos principais da profissão",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/topografo-o-que-faz-quanto-ganha-e-requisitos/,Concursos Brasil,2025-10-16T16:01:10.318795
,Cargos do futuro? 15 profissões que podem bombar nos próximos anos,,,0,,0.0,,,,https://concursosnobrasil.com/cargos/cargos-do-futuro-15-profissoes-que-podem-bombar-nos-proximos-anos/,Concursos Brasil,2025-10-16T16:01:10.318795
,"Geneticista: o que faz, quanto ganha e a formação necessária",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/geneticista-o-que-faz-quanto-ganha-e-a-formacao-necessaria/,Concursos Brasil,2025-10-16T16:01:25.926158
,"Digitador: o que faz, quanto ganha e requisitos mínimos para o cargo",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/digitador-o-que-faz-quanto-ganha-e-requisitos-minimos-para-o-cargo/,Concursos Brasil,2025-10-16T16:01:25.926158
,"Product Owner: o que faz, como se tornar um e quanto ganha no Brasil",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/product-owner/,Concursos Brasil,2025-10-16T16:01:41.326798
,"Engenheiro Eletricista: o que faz, quanto ganha e formação necessária",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/engenheiro-eletricista-o-que-faz-quanto-ganha-e-formacao/,Concursos Brasil,2025-10-16T16:01:54.188897
,"Arquiteto: o que geralmente faz, quanto ganha e formação",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/arquiteto/,Concursos Brasil,2025-10-16T16:01:54.188897
,Técnico e Auxiliar de Farmácia: qual é a diferença entre os cargos?,,,0,,0.0,,,,https://concursosnobrasil.com/cargos/tecnico-e-auxiliar-de-farmacia-qual-e-a-diferenca/,Concursos Brasil,2025-10-16T16:02:07.085070
,"Agente Censitário do IBGE: o que faz, quanto ganha e requisitos",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/agente-censitario-do-ibge-o-que-faz-quanto-ganha-e-requisitos/,Concursos Brasil,2025-10-16T16:02:19.736468
